Nome_poço_anp,Nome_poço_operador,Campo,Bacia,Operador_atual,Operador_epoca,Ambiente,Sonda,Objetivo,Data_início,Data_término,Dias_em_intervenção
1-AG-1-SE,1AG  0001  SE,AGUILHADA,SERGIPE,CARMO,CARMO,TERRA,SONDA DE PRODUÇÃO TERRESTRE 28,Abandono,11/03/2026,16/03/2026,6
1-ALG-1-RN,1ALG 0001  RN,ALTO ALEGRE,POTIGUAR,PETRO-VICTORY,PETRO-VICTORY,TERRA,DK-01,Completação,10/06/2025,18/06/2025,9
1-ALG-1-RN,1ALG 0001  RN,ALTO ALEGRE,POTIGUAR,PETRO-VICTORY,PETRO-VICTORY,TERRA,SONDA DE PRODUÇÃO TERRESTRE 146,Completação,05/08/2025,14/08/2025,10
1-ALV-11-BA,1-ALV-198-A1-BA,CABURÉ LESTE,RECÔNCAVO,ALVOPETRO,ALVOPETRO,TERRA,GREAT - 120,Completação,26/09/2025,01/10/2025,6
1-ALV-6D-BA,1-ALV-183-1-BA,MURUCUTUTU,RECÔNCAVO,ALVOPETRO,ALVOPETRO,TERRA,SPT-PR-15,Completação,29/07/2025,31/07/2025,3
1-ALV-6D-BA,1-ALV-183-1-BA,MURUCUTUTU,RECÔNCAVO,ALVOPETRO,ALVOPETRO,TERRA,SPT-PR-15,Completação,01/02/2026,19/03/2026,47
1-BB-1-PR,1BB  0001  PR,BARRA BONITA,PARANÁ,BARRA BONITA,BARRA BONITA,TERRA,POÇO SEM SONDA,Avaliação,09/02/2025,10/02/2025,2
1-BE-1D-RN,1BE  0001D RN,BOA ESPERANÇA,POTIGUAR,PETRORECÔNCAVO,PETRORECÔNCAVO,TERRA,POÇO SEM SONDA,Restauração,27/07/2025,27/07/2025,1
1-BGM-6-ES,1-AJR-1-ES,SURUCUCU,ESPÍRITO SANTO,BGM,BGM,TERRA,COWAN-02,Avaliação,13/06/2025,19/06/2025,7
1-BGM-6-ES,1-AJR-1-ES,SURUCUCU,ESPÍRITO SANTO,BGM,BGM,TERRA,COWAN-02,TLD,25/06/2025,14/07/2025,20
1-BR-1-RN,1BR  0001  RN,BREJINHO RN,POTIGUAR,PETRORECÔNCAVO,POTIGUAR E&P S.A.,TERRA,PR 12,Completação,22/02/2025,25/02/2025,4
1-BRSA-1038-RN,1MU2RN,MAÇARICO,POTIGUAR,PETRORECÔNCAVO,POTIGUAR E&P S.A.,TERRA,PR 23,Completação,06/01/2025,12/01/2025,7
1-BRSA-1146-RJS,1RJS711,ATAPU,SANTOS,PETROBRAS,PETROBRAS,MAR,SSV VICTORIA,Restauração,20/03/2026,31/03/2026,12
1-BRSA-1299D-BA,1SQ1DBA,TANGARÁ,RECÔNCAVO,PETROBRAS,PETROBRAS,TERRA,SONDA DE PRODUÇÃO TERRESTRE 159,Restauração,20/04/2025,28/04/2025,9
1-BRSA-12-RN,1ALC4RN,PERIQUITO,POTIGUAR,PHOENIX ÓLEO & GÁS,PHOENIX ÓLEO & GÁS,TERRA,DK-01,Completação,24/07/2025,26/07/2025,3
1-BRSA-12-RN,1ALC4RN,PERIQUITO,POTIGUAR,PHOENIX ÓLEO & GÁS,PHOENIX ÓLEO & GÁS,TERRA,DK-01,Avaliação,07/02/2025,17/03/2025,39
1-BRSA-1304-BA,1FPA1BA,FAZENDA IMBÉ,RECÔNCAVO,PETROBRAS,PETROBRAS,TERRA,SONDA DE PRODUÇÃO TERRESTRE 101,Restauração,04/03/2025,10/03/2025,7
1-BRSA-257-RN,1LOG2RN,ACAUÃ,POTIGUAR,MANDACARU ENERGIA,MANDACARU ENERGIA,TERRA,SPT-34,Completação,06/12/2025,10/12/2025,5
1-BRSA-305DP-BA,1SRC2DPBA,TANGARÁ,RECÔNCAVO,PETROBRAS,PETROBRAS,TERRA,SONDA DE PRODUÇÃO TERRESTRE 19,Restauração,07/01/2026,21/01/2026,15
1-BRSA-456-RN,1RC5RN,TRINCA FERRO,POTIGUAR,PETRORECÔNCAVO,POTIGUAR E&P S.A.,TERRA,PR 18,Completação,30/01/2025,07/02/2025,9
1-BRSA-470D-BA,1HBV1DBA,GUANAMBI,RECÔNCAVO,3R BAHIA,3R BAHIA,TERRA,SPT-043,Restauração,11/06/2025,16/06/2025,6
1-BRSA-491-SPS,1SPS50,LAPA,SANTOS,TOTALENERGIES EP,TOTALENERGIES EP,MAR,VALARIS RENAISSANCE,Completação,12/01/2025,23/01/2025,12
1-BRSA-513D-AL,1FRO4DAL,ANAMBÉ,ALAGOAS,ORIGEM ALAGOAS,ORIGEM ALAGOAS,TERRA,SONDA DE PRODUÇÃO TERRESTRE 145,Completação,14/02/2025,11/03/2025,26
1-BRSA-521-RN,1RPV1RN,IRAÚNA,POTIGUAR,NÍON ENERGIA,NÍON ENERGIA,TERRA,SONDA DE PRODUÇÃO TERRESTE NÍON 01,Restauração,04/05/2025,04/05/2025,1
1-BRSA-521-RN,1RPV1RN,IRAÚNA,POTIGUAR,NÍON ENERGIA,NÍON ENERGIA,TERRA,SONDA DE PRODUÇÃO TERRESTE NÍON 01,Restauração,10/02/2026,12/02/2026,3
1-BRSA-521-RN,1RPV1RN,IRAÚNA,POTIGUAR,NÍON ENERGIA,NÍON ENERGIA,TERRA,SONDA DE PRODUÇÃO TERRESTE NÍON 01,Restauração,02/09/2025,06/09/2025,5
1-BRSA-521-RN,1RPV1RN,IRAÚNA,POTIGUAR,NÍON ENERGIA,NÍON ENERGIA,TERRA,SONDA DE PRODUÇÃO TERRESTE NÍON 01,Restauração,30/07/2025,12/08/2025,14
1-BRSA-57-ES,1CAN3ES,RIO IPIRANGA,ESPÍRITO SANTO,IMETAME,IMETAME,TERRA,IMETAME_ENERGIA_03,Completação,26/06/2025,26/06/2025,1
1-BRSA-57-ES,1CAN3ES,RIO IPIRANGA,ESPÍRITO SANTO,IMETAME,IMETAME,TERRA,SONDA ROMENA UPET TW 80,Avaliação,03/08/2025,03/08/2025,1
1-BRSA-57-ES,1CAN3ES,RIO IPIRANGA,ESPÍRITO SANTO,IMETAME,IMETAME,TERRA,SONDA DE PRODUÇÃO TERRESTRE 153,Completação,05/12/2025,10/12/2025,6
1-BRSA-57-ES,1CAN3ES,RIO IPIRANGA,ESPÍRITO SANTO,IMETAME,IMETAME,TERRA,IMETAME_ENERGIA_03,Avaliação,27/06/2025,05/07/2025,9
1-BRSA-57-ES,1CAN3ES,RIO IPIRANGA,ESPÍRITO SANTO,IMETAME,IMETAME,TERRA,IMETAME_ENERGIA_02,Completação,02/11/2025,15/11/2025,14
1-BRSA-57-ES,1CAN3ES,RIO IPIRANGA,ESPÍRITO SANTO,IMETAME,IMETAME,TERRA,IMETAME_ENERGIA_03,Avaliação,02/08/2025,23/08/2025,22
