POÇO ANP;BLOCO;BACIA;BACIAS AGRUPADAS;ESTADO;AMBIENTE;OPERADOR;INÍCIO DA PERFURAÇÃO;CONCLUSÃO DO POÇO;PROFUNDIDADE FINAL (m);ATINGIU PRÉ-SAL?;NOTIFICAÇÃO DE DESCOBERTA ?;DATA DA 1ª DESCOBERTA;FLUIDO NOTIFICAÇÃO DESCOBERTA
1-BRSA-1405-APS;FZA-M-59;Foz do Amazonas;Margem Equatorial;AP;MAR;Petrobras;20/10/2025;;;Não;Não;;
1-ENV-51D-AM;AM-T-85;Amazonas;Nova Fronteira;AM;TERRA;Eneva;06/01/2024;;;Não;Não;;
1-CES-142-CE;Brasil;Potiguar;Margem Equatorial;CE;MAR;;27/01/1998;10/02/1998;1158;Não;Não;;
1-RJS-534-RJS;BC-50;Campos;Margem Leste;RJ;MAR;Petrobras;25/01/1998;21/02/1998;3770;Não;Não;;
4-CES-143-CE;BCE-8;Ceará;Margem Equatorial;CE;MAR;Petrobras;14/02/1998;10/03/1998;2028;Não;Não;;
1-IMA-1-AM;BSOL-4;Solimões;Nova Fronteira;AM;TERRA;Petrobras;28/01/1998;21/03/1998;2613;Não;Não;;
1-FCF-1-BA;REC-T-128;Recôncavo;Maduras;BA;TERRA;Petrobras;08/03/1998;05/04/1998;2290;Não;Não;;
1-BAS-106-BA;Brasil;Cumuruxatiba;Margem Leste;BA;MAR;;17/02/1998;27/04/1998;3650;Não;Não;;
1-SES-119-SE;SEAL-20;Sergipe;Margem Leste;SE;MAR;Petrobras;07/05/1998;25/05/1998;2300;Não;Não;;
1-MR-1-PR;BPAR-10;Paraná;Nova Fronteira;PR;TERRA;Petrobras;22/03/1998;26/06/1998;2819;Não;Não;;
1-BAS-121-BA;BJ-30;Jequitinhonha;Margem Leste;BA;MAR;Petrobras;14/05/1998;04/07/1998;3531;Não;Não;;
1-RJS-527-RJS;BC-30;Campos;Margem Leste;RJ;MAR;Petrobras;22/06/1998;07/07/1998;3313;Sim;Não;;
1-RJS-532-RJ;BC-200;Campos;Margem Leste;RJ;MAR;Petrobras;04/06/1998;08/07/1998;4468;Não;Não;;
1-RA-2-AM;BSOL-4;Solimões;Nova Fronteira;AM;TERRA;Petrobras;11/05/1998;02/08/1998;2990;Não;Não;;
1-RJS-529D-RJS;BC-20;Campos;Margem Leste;RJ;MAR;Petrobras;21/07/1998;14/08/1998;3612;Não;Sim;23/10/1998;Petróleo
1-MOS-1-ES;MOS_OP;Espírito Santo;Maduras;ES;TERRA;Petrobras;15/08/1998;26/08/1998;1629;Não;Sim;21/09/1998;Não Caracterizado
1-SAN-1-ES;BREG;Espírito Santo;Maduras;ES;TERRA;Petrobras;10/08/1998;09/09/1998;2511;Não;Não;;
1-BAS-123-BA;BCUM-20;Cumuruxatiba;Margem Leste;BA;MAR;Petrobras;28/08/1998;30/09/1998;2536;Não;Não;;
1-ESS-83-ES;BFRD;Espírito Santo;Margem Leste;ES;MAR;Petrobras;03/07/1998;03/10/1998;4312;Não;Não;;
1-RCA-1-BA;BREC-7;Recôncavo;Maduras;BA;TERRA;Petrobras;20/09/1998;14/10/1998;2532;Não;Não;;
1-SBD-1D-RN;BPOT-4;Potiguar;Maduras;RN;TERRA;Petrobras;09/09/1998;20/10/1998;2778;Não;Não;;
1-RJS-535-RJS;BC-600;Campos;Margem Leste;RJ;MAR;Petrobras;01/11/1998;13/11/1998;2590;Não;Não;;
1-LSM-1-AM;BSOL-5;Solimões;Nova Fronteira;AM;TERRA;Petrobras;31/08/1998;18/11/1998;3243;Não;Não;;
4-CX-82-BA;BREC-13;Recôncavo;Maduras;BA;TERRA;Petrobras;25/10/1998;22/11/1998;2820;Não;Não;;
1-SES-123-SE;SEAL-10;Sergipe;Margem Leste;SE;MAR;Petrobras;12/11/1998;24/11/1998;2486;Não;Não;;
1-ESS-87-ES;BFRD;Espírito Santo;Margem Leste;ES;MAR;Petrobras;28/10/1998;29/11/1998;2208;Sim;Não;;
1-SES-120-SE;SEAL-20;Sergipe;Margem Leste;SE;MAR;Petrobras;04/12/1998;13/12/1998;2322;Não;Não;;
1-NPX-1D-RN;BPOT-4;Potiguar;Maduras;RN;TERRA;Petrobras;02/11/1998;14/12/1998;2200;Não;Não;;
1-RJS-525-RJ;BC-30;Campos;Margem Leste;RJ;MAR;Petrobras;16/12/1998;16/12/1998;1795;Não;Não;;
4-JA-38-BA;BREC-10;Recôncavo;Maduras;BA;TERRA;Petrobras;06/12/1998;28/12/1998;1894;Não;Não;;
1-SES-125-SE;SEAL-10;Sergipe;Margem Leste;SE;MAR;Petrobras;29/12/1998;05/01/1999;1650;Não;Não;;
1-ESS-88-ES;BFRD;Espírito Santo;Margem Leste;ES;MAR;Petrobras;10/12/1998;14/01/1999;2412;Sim;Não;;
1-RUT-1-AM;AZU;Amazonas;Nova Fronteira;AM;TERRA;Petrobras;05/10/1998;18/01/1999;3478;Não;Sim;02/02/1999;Gás
1-SES-126-SE;SEAL-10;Sergipe;Margem Leste;SE;MAR;Petrobras;11/01/1999;19/01/1999;1673;Não;Não;;
1-RTL-1-RN;BPOT-6;Potiguar;Maduras;RN;TERRA;Petrobras;24/12/1998;22/01/1999;2355;Não;Não;;
1-ELD-1-ES;BREG;Espírito Santo;Maduras;ES;TERRA;Petrobras;28/12/1998;24/01/1999;2610;Não;Sim;28/01/1999;Petróleo
1-SES-124-SE;SEAL-10;Sergipe;Margem Leste;SE;MAR;Petrobras;27/01/1999;01/02/1999;1029;Não;Não;;
4-BB-16-BA;BREC-9;Recôncavo;Maduras;BA;TERRA;Petrobras;20/01/1999;17/02/1999;2883;Não;Não;;
1-CP-1-AM;BSOL-4;Solimões;Nova Fronteira;AM;TERRA;Petrobras;15/12/1998;19/02/1999;2943;Não;Não;;
4-BB-18DP-BA;BREC-9;Recôncavo;Maduras;BA;TERRA;Petrobras;22/02/1999;09/03/1999;2970;Não;Sim;15/10/1999;Gás
4-MOS-2-ES;MOS_OP;Espírito Santo;Maduras;ES;TERRA;Petrobras;25/02/1999;11/03/1999;1531;Não;Sim;16/03/1999;Petróleo
1-PL-1-PR;BPAR-10;Paraná;Nova Fronteira;PR;TERRA;Petrobras;09/12/1998;06/04/1999;3867;Não;Sim;02/03/1999;Gás
1-RJS-531-RJ;BC-200;Campos;Margem Leste;RJ;MAR;Petrobras;25/01/1999;11/04/1999;5078;Sim;Sim;18/03/1999;Petróleo
1-FAC-1-RN;BPOT-5;Potiguar;Maduras;RN;TERRA;Petrobras;07/04/1999;22/04/1999;1690;Não;Não;;
4-ALS-50-AL;SEAL-30;Alagoas;Margem Leste;AL;MAR;Petrobras;08/04/1999;28/04/1999;;Não;Sim;30/04/1999;Petróleo
1-ESS-90-ES;BES-100;Espírito Santo;Margem Leste;ES;MAR;Petrobras;02/05/1999;03/05/1999;2750;Não;Não;;
1-BIN-1-ES;BCED;Espírito Santo;Maduras;ES;TERRA;Petrobras;26/04/1999;11/05/1999;2220;Não;Sim;12/05/1999;Gás
1-ATV-2-ES;ES-T-441;Espírito Santo;Maduras;ES;TERRA;Petrobras;02/05/1999;16/05/1999;1623;Não;Sim;12/05/1999;Não Caracterizado
1-MSV-1-RN;BPOT-4;Potiguar;Maduras;RN;TERRA;Petrobras;22/04/1999;28/05/1999;2508;Não;Sim;31/05/1999;Petróleo
1-SLS-1-ES;BREG;Espírito Santo;Maduras;ES;TERRA;Petrobras;23/05/1999;05/06/1999;1786;Não;Sim;09/06/1999;Petróleo
1-RJS-537-RJS;BC-3;Campos;Margem Leste;RJ;MAR;Petrobras;18/05/1999;19/06/1999;2825;Sim;Sim;09/06/1999;Não Caracterizado
1-ATV-1-ES;BCED;Espírito Santo;Maduras;ES;TERRA;Petrobras;14/06/1999;28/06/1999;1605;Não;Sim;29/06/1999;Não Caracterizado
4-SE-53-RN;BPOT-5;Potiguar;Maduras;RN;TERRA;Petrobras;12/06/1999;06/07/1999;2109;Não;Não;;
1-ESS-86-ES;BES-100;Espírito Santo;Margem Leste;ES;MAR;Petrobras;08/12/1998;07/07/1999;2379;Não;Não;;
1-RT-2-AM;BSOL-5;Solimões;Nova Fronteira;AM;TERRA;Petrobras;23/03/1999;07/07/1999;3400;Não;Não;;
1-ATZ-1-AM;BA-1;Amazonas;Nova Fronteira;AM;TERRA;Petrobras;13/03/1999;19/07/1999;2623;Não;Sim;26/07/1999;Gás
1-CES-144-CES;BCE-6;Ceará;Margem Equatorial;CE;MAR;Petrobras;04/06/1999;19/07/1999;3194;Não;Não;;
1-ESS-92-ES;BC-60;Campos;Margem Leste;ES;MAR;Petrobras;28/06/1999;27/07/1999;3891;Não;Não;;
1-ITP-1-AM;BA-3;Amazonas;Nova Fronteira;AM;TERRA;Petrobras;19/04/1999;03/08/1999;2683;Não;Sim;05/08/1999;Gás
1-RJS-538-RJ;BC-400;Campos;Margem Leste;RJ;MAR;Petrobras;11/05/1999;12/08/1999;5061;Não;Não;;
1-RJS-539-RJS;BS-500;Santos;Margem Leste;RJ;MAR;Petrobras;06/08/1999;28/08/1999;4552;Não;Sim;27/08/1999;Petróleo
1-CPI-1-BA;BREC-3;Recôncavo;Maduras;BA;TERRA;Petrobras;10/09/1999;16/09/1999;487;Não;Não;;
1-TP-1-RN;BPOT-4;Potiguar;Maduras;RN;TERRA;Petrobras;24/09/1999;05/10/1999;1520;Não;Não;;
1-BGA-1-RN;BPOT-6;Potiguar;Maduras;RN;TERRA;Petrobras;04/10/1999;06/10/1999;340;Não;Sim;08/10/1999;Petróleo
1-RJS-542-RJ;BS-500;Santos;Margem Leste;RJ;MAR;Petrobras;17/09/1999;14/10/1999;4820;Não;Não;;
1-LSA-1-AM;BA-3;Amazonas;Nova Fronteira;AM;TERRA;Petrobras;22/08/1999;28/10/1999;2851;Não;Sim;01/11/1999;Não Caracterizado
1-RJS-540-RJ;BC-200;Campos;Margem Leste;RJ;MAR;Petrobras;23/08/1999;28/10/1999;4670;Não;Sim;30/08/1999;Petróleo
1-CES-146-CE;BCE-6;Ceará;Margem Equatorial;CE;MAR;Petrobras;28/09/1999;31/10/1999;2723;Não;Não;;
1-JUT-1-PA;BA-4;Amazonas;Nova Fronteira;PA;TERRA;Petrobras;25/08/1999;08/11/1999;3342;Não;Sim;26/10/1999;Não Caracterizado
1-RSB-1-BA;BREC-11;Recôncavo;Maduras;BA;TERRA;Petrobras;21/10/1999;13/11/1999;2112;Não;Sim;16/11/1999;Não Caracterizado
1-CES-150-CE;BCE-8;Ceará;Margem Equatorial;CE;MAR;Petrobras;18/11/1999;29/11/1999;2070;Não;Não;;
1-RJS-541-RJS;BC-50;Campos;Margem Leste;RJ;MAR;Petrobras;22/11/1999;04/12/1999;2886;Não;Sim;09/12/1999;Petróleo
1-RJS-546-RJ;BC-200;Campos;Margem Leste;RJ;MAR;Petrobras;07/11/1999;04/12/1999;4925;Não;Sim;09/12/1999;Petróleo
1-BIO-1-ES;BCED;Espírito Santo;Maduras;ES;TERRA;Petrobras;06/11/1999;07/12/1999;2665;Não;Sim;19/11/1999;Não Caracterizado
1-RQN-1-BA;BREC-5;Recôncavo;Maduras;BA;TERRA;Petrobras;01/12/1999;31/12/1999;2493;Não;Sim;30/12/1999;Não Caracterizado
1-SPS-32-SP;BS-400;Santos;Margem Leste;SP;MAR;Petrobras;02/12/1999;07/01/2000;2767;Não;Não;;
1-CES-151D-CE;BCE-9;Ceará;Margem Equatorial;CE;MAR;Petrobras;10/11/1999;13/01/2000;3550;Não;Não;;
1-RJS-545-RJ;BC-400;Campos;Margem Leste;RJ;MAR;Petrobras;15/12/1999;16/01/2000;4050;Não;Não;;
1-ESS-94-ESS;BES-200;Espírito Santo;Margem Leste;ES;MAR;Petrobras;18/12/1999;24/01/2000;5050;Não;Não;;
1-BV-1-ES;BREG;Espírito Santo;Maduras;ES;TERRA;Petrobras;29/12/1999;25/01/2000;2299;Não;Não;;
1-BAS-126-BAS;BALM-200;Almada;Margem Leste;BA;MAR;Petrobras;13/12/1999;02/02/2000;3438;Não;Não;;
1-CAP-1-AM;BA-1;Amazonas;Nova Fronteira;AM;TERRA;Petrobras;21/12/1999;04/02/2000;2130;Não;Sim;26/01/2000;Não Caracterizado
1-RJS-547-RJ;BC-200A;Campos;Margem Leste;RJ;MAR;Petrobras;04/02/2000;17/02/2000;3625;Não;Não;;
1-RJS-526-RJ;BC-200;Campos;Margem Leste;RJ;MAR;Petrobras;17/02/2000;18/02/2000;1760;Não;Não;;
1-ESS-95-ES;BC-15;Campos;Margem Leste;ES;MAR;Petrobras;25/02/2000;02/03/2000;2933;Não;Não;;
1-RJS-543-RJ;BC-200;Campos;Margem Leste;RJ;MAR;Petrobras;01/11/1999;11/03/2000;5598;Sim;Sim;30/12/1999;Petróleo
1-SES-127-SE;SEAL-300;Sergipe;Margem Leste;SE;MAR;Petrobras;01/02/2000;28/03/2000;3821;Não;Sim;28/02/2000;Petróleo
1-NCO-1-BA;BTUS-5;Tucano Sul;Nova Fronteira;BA;TERRA;Petrobras;29/04/2000;05/05/2000;381;Não;Não;;
3-RJS-550-RJS;BS-500;Santos;Margem Leste;RJ;MAR;Petrobras;30/04/2000;21/05/2000;2600;Não;Não;;
1-JAB-1-AM;BA-2;Amazonas;Nova Fronteira;AM;TERRA;Petrobras;23/03/2000;10/06/2000;3703;Não;Não;;
1-BRSA-5-BAS;BCAM-1;Camamu;Margem Leste;BA;MAR;Petrobras;23/06/2000;01/07/2000;136;Não;Não;;
1-RJS-548-RJS;BC-40;Campos;Margem Leste;RJ;MAR;Petrobras;18/04/2000;08/07/2000;156;Não;Não;;
1-BRSA-4-ESS;BES-100;Espírito Santo;Margem Leste;ES;MAR;Petrobras;21/06/2000;21/07/2000;4715;Não;Sim;22/09/2000;Não Caracterizado
1-BRSA-6-RJS;BC-30;Campos;Margem Leste;RJ;MAR;Petrobras;21/06/2000;07/08/2000;3775;Não;Sim;21/07/2000;Petróleo
1-BRSA-11-ESS;BES-100;Espírito Santo;Margem Leste;ES;MAR;Petrobras;26/07/2000;25/08/2000;4602;Não;Não;;
1-BRSA-7-RN;BPOT-6;Potiguar;Maduras;RN;TERRA;Petrobras;05/07/2000;26/08/2000;790;Não;Sim;17/07/2000;Gás e Petróleo
1-BRSA-10-ESS;BC-60;Campos;Margem Leste;ES;MAR;Petrobras;24/07/2000;06/09/2000;3872;Não;Não;;
1-BRSA-9-AM;BA-2;Amazonas;Nova Fronteira;AM;TERRA;Petrobras;19/07/2000;08/09/2000;2770;Não;Não;;
1-RJS-533-RJ;BC-200;Campos;Margem Leste;RJ;MAR;Petrobras;15/04/2000;14/09/2000;4770;Não;Não;;
1-BRSA-13-ESS;BC-14;Campos;Margem Leste;ES;MAR;Petrobras;09/08/2000;17/09/2000;4410;Sim;Sim;14/09/2000;Petróleo
1-BRSA-15-RJS;BC-400;Campos;Margem Leste;RJ;MAR;Petrobras;01/09/2000;24/09/2000;3375;Não;Sim;25/09/2000;Petróleo
1-SHEL-1-ESS;BC-10;Campos;Margem Leste;ES;MAR;Shell;07/09/2000;10/10/2000;4216;Não;Sim;20/09/2000;Petróleo
1-BRSA-12-RN;POT-T-790;Potiguar;Maduras;RN;TERRA;Petrobras;01/08/2000;14/10/2000;1600;Não;Sim;01/09/2000;Gás e Petróleo
1-BRSA-14-BAS;BCAM-40;Camamu;Margem Leste;BA;MAR;Petrobras;15/08/2000;27/10/2000;1828;Não;Sim;25/08/2000;Não Caracterizado
1-HESS-1-RJS;BS-2;Santos;Margem Leste;RJ;MAR;Amerada Hess;15/10/2000;10/11/2000;3880;Não;Sim;25/10/2000;Petróleo
1-BRSA-27-RN;BPOT-6;Potiguar;Maduras;RN;TERRA;Petrobras;06/11/2000;20/11/2000;970;Não;Não;;
1-BRSA-21-CES;BCE-5;Potiguar;Margem Equatorial;CE;MAR;Petrobras;16/10/2000;22/11/2000;655;Não;Sim;01/11/2000;Gás
1-BRSA-3-RNS;BPOT-100A;Potiguar;Margem Equatorial;RN;MAR;Petrobras;28/05/2000;23/11/2000;4814;Não;Sim;25/08/2000;Petróleo
1-HESS-2-RJS;BC-8;Campos;Margem Leste;RJ;MAR;Amerada Hess;12/11/2000;08/12/2000;3462;Não;Sim;23/11/2000;Petróleo
1-BRSA-20-RJS;BC-400;Campos;Margem Leste;RJ;MAR;Petrobras;30/09/2000;11/12/2000;5131;Não;Sim;13/10/2000;Gás
1-BRSA-18-ESS;BC-600;Campos;Margem Leste;ES;MAR;Petrobras;19/09/2000;26/12/2000;5510;Sim;Sim;24/11/2000;Petróleo
3-BRSA-19-RJS;BS-500;Santos;Margem Leste;RJ;MAR;Petrobras;27/09/2000;29/12/2000;5301;Não;Sim;17/11/2000;Não Caracterizado
1-BRSA-34-ES;BREG;Espírito Santo;Maduras;ES;TERRA;Petrobras;19/12/2000;31/12/2000;1288;Não;Sim;29/12/2000;Petróleo
4-BRSA-35D-SE;SEAL-1;Sergipe;Maduras;SE;TERRA;Petrobras;23/12/2000;08/01/2001;1418;Não;Não;;
1-BRSA-36-RN;BPOT-5;Potiguar;Maduras;RN;TERRA;Petrobras;24/12/2000;13/01/2001;1734;Não;Não;;
4-BRSA-40-SE;SEAL-1;Sergipe;Maduras;SE;TERRA;Petrobras;12/01/2001;21/01/2001;1351;Não;Não;;
1-SHEL-2-ESS;BC-10;Campos;Margem Leste;ES;MAR;Shell;12/12/2000;25/01/2001;4883;Não;Sim;05/01/2001;Gás e Petróleo
1-EPB-1-RJS;BC-2;Campos;Margem Leste;RJ;MAR;Elf Brasil;14/12/2000;26/01/2001;4555;Não;Sim;05/01/2001;Petróleo
1-BRSA-26-BAS;BCUM-1;Cumuruxatiba;Margem Leste;BA;MAR;Petrobras;06/11/2000;27/01/2001;3920;Não;Não;;
1-BRSA-41-ES;BCED;Espírito Santo;Maduras;ES;TERRA;Petrobras;21/01/2001;04/02/2001;1465;Não;Sim;06/02/2001;Petróleo
6-BRSA-24-AM;BSOL-5;Solimões;Nova Fronteira;AM;TERRA;Petrobras;31/10/2000;08/02/2001;3275;Não;Sim;12/02/2001;Gás
3-BRSA-31-RNS;BPOT-10;Potiguar;Margem Equatorial;RN;MAR;Petrobras;30/11/2000;12/02/2001;1157;Não;Não;;
1-BRSA-28-BAS;BCAM-100;Camamu;Margem Leste;BA;MAR;Petrobras;17/11/2000;19/02/2001;5221;Não;Não;;
1-BRSA-33-ESS;BC-60;Campos;Margem Leste;ES;MAR;Petrobras;19/12/2000;19/02/2001;3885;Não;Sim;09/01/2001;Petróleo
1-SHEL-3-ESS;BC-10;Campos;Margem Leste;ES;MAR;Shell;27/01/2001;20/02/2001;4281;Não;Não;;
1-BRSA-37-RJS;BC-100;Campos;Margem Leste;RJ;MAR;Petrobras;29/12/2000;21/02/2001;4673;Não;Sim;12/02/2001;Petróleo
1-COST-1P-PR;BPAR-10;Paraná;Nova Fronteira;PR;TERRA;3R Petroleum;18/10/2000;22/02/2001;4361;Não;Sim;05/11/2000;Gás
1-EPB-2-RJS;BC-2;Campos;Margem Leste;RJ;MAR;Elf Brasil;27/01/2001;26/02/2001;4650;Não;Não;;
1-BP-1-APS;BFZ-2;Foz do Amazonas;Margem Equatorial;AP;MAR;Petrobras;04/03/2001;05/03/2001;2426;Não;Não;;
1-BRSA-38-SPS;BS-400;Santos;Margem Leste;SP;MAR;Petrobras;02/01/2001;05/03/2001;5668;Não;Sim;21/02/2001;Gás e Petróleo
1-BRSA-46-ES;BCED;Espírito Santo;Maduras;ES;TERRA;Petrobras;21/02/2001;07/03/2001;1902;Não;Não;;
1-DEV-1-RNS;BPOT-2;Potiguar;Margem Equatorial;RN;MAR;BP Energy;01/02/2001;08/03/2001;870;Não;Sim;24/02/2001;Petróleo
1-REPF-1-ESS;BES-3;Espírito Santo;Margem Leste;ES;MAR;Repsol Sinopec;08/12/2000;12/03/2001;1914;Não;Não;;
3-COST-2-PR;BPAR-10;Paraná;Nova Fronteira;PR;TERRA;3R Petroleum;30/01/2001;14/03/2001;2906;Não;Não;;
1-BRSA-52-ES;BCED;Espírito Santo;Maduras;ES;TERRA;Petrobras;03/03/2001;18/03/2001;1308;Não;Sim;19/03/2001;Gás e Petróleo
1-BRSA-44-ES;BREG;Espírito Santo;Maduras;ES;TERRA;Petrobras;16/02/2001;19/03/2001;2676;Não;Não;;
1-BRSA-54D-SES;SEAL-10;Sergipe;Margem Leste;SE;MAR;Petrobras;13/03/2001;26/03/2001;1510;Não;Não;;
1-BRSA-50-ESS;BFRD;Espírito Santo;Margem Leste;ES;MAR;Petrobras;03/03/2001;30/03/2001;3814;Não;Não;;
1-COST-3-BAS;BCAM-2;Camamu;Margem Leste;BA;MAR;3R Petroleum;19/02/2001;01/04/2001;2029;Não;Não;;
1-KMG-1-SPS;BS-1;Santos;Margem Leste;SP;MAR;Kerr-McGee Brasil;02/03/2001;04/04/2001;3724;Não;Sim;26/03/2001;Petróleo
1-BRSA-29-RN;BPOT-4;Potiguar;Maduras;RN;TERRA;Petrobras;20/11/2000;08/04/2001;2326;Não;Sim;07/02/2001;Petróleo
1-SHEL-4-RJS;BS-4;Santos;Margem Leste;RJ;MAR;Shell;25/02/2001;10/04/2001;4155;Não;Sim;09/03/2001;Petróleo
1-BRSA-25-ES;BT-ES-12;Espírito Santo;Maduras;ES;TERRA;Petrobras;05/11/2000;13/04/2001;1052;Não;Sim;14/11/2000;Petróleo
1-BRSA-48-RNS;BPOT-10;Potiguar;Margem Equatorial;RN;MAR;Petrobras;01/03/2001;13/04/2001;2230;Não;Não;;
1-BRSA-62-ES;ES-T-441;Espírito Santo;Maduras;ES;TERRA;Petrobras;11/04/2001;21/04/2001;1260;Não;Não;;
1-HESS-3-RJS;BS-2;Santos;Margem Leste;RJ;MAR;Amerada Hess;12/04/2001;21/04/2001;2088;Não;Não;;
1-DEV-2-RNS;BPOT-2;Potiguar;Margem Equatorial;RN;MAR;BP Energy;07/04/2001;25/04/2001;953;Não;Não;;
1-TXCO-1D-RJS;BC-4;Campos;Margem Leste;RJ;MAR;Chevron Brasil;09/04/2001;27/04/2001;3303;Não;Não;;
1-BRSA-23-ES;BT-ES-12;Espírito Santo;Maduras;ES;TERRA;Petrobras;20/10/2000;29/04/2001;1073;Não;Sim;03/11/2000;Petróleo
1-BRSA-47-CES;BCE-8;Ceará;Margem Equatorial;CE;MAR;Petrobras;24/02/2001;01/05/2001;2908;Não;Não;;
1-BRSA-49-BAS;BCUM-100;Cumuruxatiba;Margem Leste;BA;MAR;Petrobras;03/03/2001;01/05/2001;4600;Não;Não;;
1-ELPS-5-BAS;BCAM-2;Camamu;Margem Leste;BA;MAR;3R Petroleum;12/04/2001;01/05/2001;1350;Não;Não;;
4-BRSA-51-ESS;BC-600;Campos;Margem Leste;ES;MAR;Petrobras;03/03/2001;02/05/2001;5100;Sim;Sim;24/04/2001;Petróleo
1-SHEL-5-RJS;BS-4;Santos;Margem Leste;RJ;MAR;Shell;24/04/2001;17/05/2001;3989;Não;Não;;
4-BRSA-58HP-ES;CCNS;Espírito Santo;Maduras;ES;TERRA;Petrobras;30/03/2001;17/05/2001;1897;Não;Não;;
1-BRSA-53-RJS;BS-500;Santos;Margem Leste;RJ;MAR;Petrobras;10/03/2001;18/05/2001;4527;Não;Sim;06/04/2001;Petróleo
1-BRSA-69-CES;BCE-2;Potiguar;Margem Equatorial;CE;MAR;Petrobras;16/05/2001;21/05/2001;2003;Não;Não;;
1-BRSA-22-ES;BREG;Espírito Santo;Maduras;ES;TERRA;Petrobras;16/10/2000;22/05/2001;2229;Não;Sim;13/11/2000;Não Caracterizado
1-BRSA-61-RSS;BP-1;Pelotas;Margem Leste;RS;MAR;Petrobras;08/04/2001;29/05/2001;2379;Não;Não;;
1-UCAL-1-ESS;BC-9;Campos;Margem Leste;ES;MAR;Unocal;17/05/2001;31/05/2001;3400;Não;Não;;
1-BRSA-71-RJS;BC-500;Campos;Margem Leste;RJ;MAR;Petrobras;22/05/2001;01/06/2001;3142;Não;Não;;
1-BRSA-75-ESS;BC-15;Campos;Margem Leste;ES;MAR;Petrobras;06/06/2001;06/06/2001;1642;Não;Não;;
1-REPF-2-ESS;BES-3;Espírito Santo;Margem Leste;ES;MAR;Repsol Sinopec;22/04/2001;07/06/2001;3342;Sim;Sim;05/06/2001;Petróleo
4-BRSA-66-ESS;BFRD;Espírito Santo;Margem Leste;ES;MAR;Petrobras;03/05/2001;09/06/2001;3018;Não;Sim;06/06/2001;Gás
1-BRSA-74-RJS;BS-500;Santos;Margem Leste;RJ;MAR;Petrobras;04/06/2001;10/06/2001;2300;Não;Não;;
1-BRSA-43-BA;BREC-13;Recôncavo;Maduras;BA;TERRA;Petrobras;12/02/2001;13/06/2001;1716;Não;Sim;05/03/2001;Petróleo
1-TCPT-1-RN;BPOT-3;Potiguar;Maduras;RN;TERRA;Tecpetrol Brasil;20/05/2001;16/06/2001;2050;Não;Sim;13/06/2001;Gás e Petróleo
1-BRSA-55-AM;BSOL-5;Solimões;Nova Fronteira;AM;TERRA;Petrobras;16/03/2001;17/06/2001;3462;Não;Sim;04/06/2001;Gás
1-UCAL-2-ESS;BC-9;Campos;Margem Leste;ES;MAR;Unocal;02/06/2001;17/06/2001;2945;Não;Sim;15/06/2001;Petróleo
1-BRSA-70D-SES;SEAL-10;Sergipe;Margem Leste;SE;MAR;Petrobras;17/05/2001;19/06/2001;2578;Não;Sim;13/06/2001;Petróleo
1-BRSA-76-SES;SEAL-10;Sergipe;Margem Leste;SE;MAR;Petrobras;06/06/2001;29/06/2001;1591;Não;Sim;29/06/2001;Petróleo
1-BRSA-83-ES;BCED;Espírito Santo;Maduras;ES;TERRA;Petrobras;27/06/2001;03/07/2001;968;Não;Não;;
1-BRSA-73-BA;REC-T-211;Recôncavo;Maduras;BA;TERRA;Petrobras;28/05/2001;08/07/2001;1808;Não;Não;;
